iter	Logloss
0	0.6734663133
1	0.6513668274
2	0.6307629806
3	0.6086349528
4	0.5873027805
5	0.5703595787
6	0.5533727967
7	0.5424731575
8	0.5281015051
9	0.5160958296
10	0.5003027745
11	0.4872820617
12	0.47301268
13	0.4603696176
14	0.4479686169
15	0.436468413
16	0.4275239167
17	0.4188378435
18	0.4089825291
19	0.3978759638
20	0.3896798764
21	0.3795213113
22	0.372709589
23	0.36606339
24	0.3601872277
25	0.3516703877
26	0.3432481082
27	0.3369124354
28	0.3303699232
29	0.3231696485
30	0.3179555869
31	0.3116560162
32	0.3054939126
33	0.3005823307
34	0.2948961264
35	0.2906643569
36	0.2860984426
37	0.2812985364
38	0.2773490487
39	0.2717679598
40	0.2694599989
41	0.2639825185
42	0.2598268963
43	0.2558027687
44	0.2528274808
45	0.2496739805
46	0.245873598
47	0.2423482228
48	0.2389336622
49	0.2364472431
50	0.2333647152
51	0.2309101397
52	0.2271409349
53	0.2245281321
54	0.2221594905
55	0.21875173
56	0.2154852427
57	0.2134351654
58	0.2116234057
59	0.2094842042
60	0.2073860285
61	0.2053032722
62	0.2029489678
63	0.2006554815
64	0.1980527823
65	0.1956241448
66	0.193721231
67	0.192215871
68	0.1902314225
69	0.1884421148
70	0.1862338729
71	0.1840175499
72	0.1815275466
73	0.1800811308
74	0.178755162
75	0.1770137662
76	0.1758426033
77	0.1739770694
78	0.172681202
79	0.171088082
80	0.169135557
81	0.1674782563
82	0.1662530549
83	0.1648522047
84	0.1635601303
85	0.162172362
86	0.1611079133
87	0.1601172012
88	0.1589083539
89	0.1575940818
90	0.1565146686
91	0.1551972004
92	0.1542368432
93	0.1528687682
94	0.1516447475
95	0.1506650107
96	0.1494777591
97	0.1484495991
98	0.1476068768
99	0.1466721554
100	0.1458679907
101	0.1453645548
102	0.144924024
103	0.1442720545
104	0.1433761104
105	0.142495196
106	0.1416917849
107	0.1407818097
108	0.1401467932
109	0.1395955455
110	0.1388909813
111	0.1383976116
112	0.1375956237
113	0.1367642203
114	0.1359791921
115	0.1351033311
116	0.1345160401
117	0.1339091894
118	0.1333796402
119	0.1328066342
120	0.1322684674
121	0.1316856022
122	0.1309833329
123	0.1305060504
124	0.1298674965
125	0.1295360036
126	0.1291220341
127	0.1284363085
128	0.1280614642
129	0.1276049927
130	0.127254033
131	0.1264816029
132	0.1260098062
133	0.1256224546
134	0.1252798424
135	0.1245154095
136	0.1239260108
137	0.1233105306
138	0.1230656217
139	0.1226603854
140	0.1220598284
141	0.1217237378
142	0.1213228103
143	0.1208874975
144	0.1205147034
145	0.1199964199
146	0.1197092171
147	0.1194346862
148	0.1188705058
149	0.1184903048
150	0.1181419077
151	0.1177322325
152	0.1174739176
153	0.1172105416
154	0.1166978492
155	0.1163067989
156	0.1158861138
157	0.1155389735
158	0.1153457448
159	0.115114869
160	0.1148922603
161	0.1145005364
162	0.1141363761
163	0.1138777716
164	0.1135916336
165	0.1133641335
166	0.1129959694
167	0.1124016976
168	0.1120338292
169	0.1117666787
170	0.1115273957
171	0.1112198133
172	0.1108269272
173	0.1105532435
174	0.1103765247
175	0.1100277827
176	0.1098340509
177	0.1094222775
178	0.1089946095
179	0.1087527427
180	0.1084895168
181	0.1082966968
182	0.1080989982
183	0.1078126565
184	0.1076616794
185	0.10732633
186	0.1070913295
187	0.1067983712
188	0.106494543
189	0.1062919186
190	0.1060344312
191	0.1056638511
192	0.1055296785
193	0.105273444
194	0.1050711769
195	0.1048271905
196	0.1045825882
197	0.1043473785
198	0.1040495935
199	0.1039367997
200	0.1037641954
201	0.1035865951
202	0.1032269928
203	0.1030764145
204	0.1028722951
205	0.1026914377
206	0.1025293657
207	0.1022785862
208	0.1020160894
209	0.1017789631
210	0.1015727843
211	0.10135534
212	0.1012083102
213	0.1011008974
214	0.1009953686
215	0.100770789
216	0.1005944054
217	0.1004065487
218	0.1002770542
219	0.1000878482
220	0.09983134327
221	0.099534029
222	0.09938925429
223	0.09915149854
224	0.0989843281
225	0.09879275374
226	0.09853661007
227	0.09839361094
228	0.09816294199
229	0.09800095346
230	0.09780618453
231	0.0975710262
232	0.09739857472
233	0.09718564272
234	0.09707909784
235	0.09690510012
236	0.0967039244
237	0.09634827611
238	0.09612817323
239	0.09596911466
240	0.09575059124
241	0.09556376979
242	0.09535598117
243	0.09523639164
244	0.09513138604
245	0.09492400359
246	0.09479799712
247	0.09467733998
248	0.09444881704
249	0.09429876072
250	0.09414662342
251	0.09401008547
252	0.09387684457
253	0.09371539798
254	0.09359420683
255	0.09346082951
256	0.0932014777
257	0.09306297057
258	0.09297267413
259	0.09276907882
260	0.09264709013
261	0.09245156612
262	0.09234831942
263	0.09212773317
264	0.09200758901
265	0.0918604248
266	0.09176221385
267	0.09165436015
268	0.0915519298
269	0.09147244817
270	0.09133472623
271	0.09121015411
272	0.0911195544
273	0.09099498196
274	0.09077362393
275	0.09066278783
276	0.09053805819
277	0.09043099026
278	0.0903329145
279	0.09018391369
280	0.09002132727
281	0.08984617336
282	0.08971781354
283	0.08962232302
284	0.08946083627
285	0.08938920616
286	0.08931199592
287	0.08918344512
288	0.08911199357
289	0.08894872731
290	0.08882220646
291	0.08875837187
292	0.0886738863
293	0.08850028666
294	0.08838385808
295	0.08826609075
296	0.08809395613
297	0.08802433668
298	0.08786578661
299	0.08772638429
300	0.08761941524
301	0.08755158037
302	0.08745962964
303	0.0873499755
304	0.08721626398
305	0.08710890299
306	0.08701628273
307	0.08693207926
308	0.08681308597
309	0.0866731584
310	0.08651449259
311	0.08639298213
312	0.08629841935
313	0.08622959482
314	0.08610578679
315	0.08596890639
316	0.08587103029
317	0.08580579177
318	0.08573926464
319	0.08560538006
320	0.08547637843
321	0.08541550007
322	0.08525763466
323	0.08518785751
324	0.08511410234
325	0.08497029161
326	0.08480035069
327	0.08470946798
328	0.08458378049
329	0.08453436053
330	0.084347601
331	0.08425376607
332	0.08418872688
333	0.08404403215
334	0.08392003061
335	0.08377240919
336	0.08368248465
337	0.08364385593
338	0.08356703321
339	0.0834821288
340	0.08332473532
341	0.08319220657
342	0.08306506322
343	0.08296564832
344	0.08286869334
345	0.08274353602
346	0.0826706178
347	0.08253853873
348	0.08237518373
349	0.08225820142
350	0.08217634312
351	0.0821015151
352	0.08196156348
353	0.08191034773
354	0.0818553846
355	0.08175114285
356	0.08165915548
357	0.08155774081
358	0.08150265155
359	0.08137141141
360	0.08131138129
361	0.08127215313
362	0.0812021325
363	0.08109767163
364	0.08095017518
365	0.08084968719
366	0.08072178989
367	0.08059743158
368	0.08054355626
369	0.08047849016
370	0.08037957712
371	0.08025469723
372	0.08017094884
373	0.08010688769
374	0.07999349818
375	0.07991739317
376	0.07987435948
377	0.07969800146
378	0.07962236135
379	0.07952175337
380	0.07945802739
381	0.07939507605
382	0.07932671225
383	0.07925048643
384	0.07914671644
385	0.07908911509
386	0.07895853368
387	0.07887821418
388	0.07879872706
389	0.07869249658
390	0.07863264444
391	0.07848324915
392	0.07837515515
393	0.07831302589
394	0.07818269059
395	0.07808700728
396	0.0780325627
397	0.07791419258
398	0.07782946017
399	0.07770105537
400	0.07760087049
401	0.0775378507
402	0.07750782541
403	0.07743192913
404	0.07733869626
405	0.07724046503
406	0.07717795078
407	0.07716191203
408	0.07711223574
409	0.0770125888
410	0.07695722793
411	0.07684233904
412	0.0767885065
413	0.07674559843
414	0.07660541142
415	0.076572266
416	0.07645776268
417	0.07638922106
418	0.07633007043
419	0.07627474595
420	0.07616525923
421	0.07612547138
422	0.07605573628
423	0.07598773374
424	0.07590517908
425	0.07589272054
426	0.07580200035
427	0.07572629276
428	0.07567573681
429	0.07558993165
