iter	Passed	Remaining
0	3	3347
1	5	2699
2	7	2441
3	9	2337
4	11	2281
5	14	2337
6	16	2290
7	18	2252
8	20	2272
9	22	2245
10	24	2244
11	26	2222
12	28	2190
13	30	2177
14	33	2203
15	35	2212
16	38	2221
17	40	2220
18	42	2206
19	44	2182
20	46	2170
21	48	2165
22	51	2189
23	54	2235
24	56	2219
25	59	2223
26	61	2212
27	63	2200
28	66	2210
29	68	2208
30	70	2197
31	72	2186
32	74	2188
33	77	2195
34	79	2201
35	82	2195
36	83	2182
37	88	2235
38	90	2221
39	92	2215
40	94	2210
41	97	2217
42	99	2217
43	102	2223
44	104	2223
45	107	2221
46	110	2233
47	112	2237
48	114	2228
49	117	2226
50	119	2223
51	121	2218
52	123	2212
53	126	2215
54	141	2434
55	144	2440
56	147	2437
57	153	2500
58	158	2532
59	161	2523
60	163	2517
61	166	2516
62	175	2614
63	178	2610
64	180	2602
65	183	2592
66	185	2581
67	187	2572
68	190	2577
69	192	2560
70	195	2560
71	197	2550
72	200	2541
73	202	2528
74	204	2519
75	208	2530
76	210	2519
77	212	2506
78	214	2503
79	216	2494
80	219	2491
81	222	2487
82	224	2477
83	226	2467
84	229	2465
85	231	2460
86	234	2460
87	236	2454
88	239	2451
89	241	2443
90	243	2432
91	245	2427
92	248	2423
93	250	2415
94	252	2409
95	254	2399
96	256	2388
97	259	2384
98	261	2376
99	263	2372
100	266	2369
101	268	2364
102	271	2362
103	273	2354
104	275	2347
105	277	2342
106	279	2336
107	282	2330
108	284	2323
109	286	2314
110	288	2306
111	289	2297
112	291	2291
113	293	2284
114	295	2276
115	298	2272
116	299	2263
117	302	2258
118	303	2250
119	305	2241
120	307	2234
121	309	2226
122	311	2222
123	313	2216
124	315	2209
125	317	2202
126	319	2196
127	321	2189
128	323	2184
129	325	2180
130	328	2175
131	330	2171
132	332	2169
133	334	2163
134	337	2159
135	339	2154
136	340	2147
137	342	2141
138	344	2135
139	346	2130
140	349	2128
141	351	2122
142	353	2118
143	355	2112
144	357	2108
145	359	2103
146	361	2097
147	363	2091
148	365	2086
149	367	2080
150	368	2074
151	370	2069
152	372	2063
153	374	2057
154	376	2052
155	378	2050
156	381	2049
157	383	2043
158	385	2038
159	387	2034
160	389	2028
161	391	2025
162	393	2020
163	395	2016
164	397	2011
165	399	2006
166	401	2001
167	402	1995
168	404	1989
169	406	1984
170	408	1979
171	410	1974
172	412	1970
173	414	1966
174	416	1962
175	418	1958
176	420	1954
177	422	1950
178	424	1946
179	426	1942
180	428	1938
181	430	1933
182	432	1929
183	434	1925
184	436	1921
185	438	1917
186	440	1913
187	441	1908
188	443	1904
189	445	1900
190	447	1895
191	449	1890
192	451	1885
193	453	1882
194	454	1878
195	456	1873
196	458	1868
197	460	1866
198	462	1862
199	465	1860
200	466	1856
201	469	1853
202	471	1849
203	473	1846
204	475	1843
205	477	1839
206	479	1835
207	480	1831
208	483	1829
209	485	1827
210	487	1824
211	489	1819
212	491	1816
213	493	1812
214	495	1808
215	497	1805
216	499	1802
217	501	1798
218	503	1795
219	505	1793
220	507	1789
221	509	1786
222	511	1782
223	513	1779
224	515	1775
225	517	1771
226	519	1768
227	521	1764
228	523	1761
229	525	1757
230	527	1754
231	529	1751
232	530	1747
233	532	1743
234	534	1740
235	536	1736
236	538	1732
237	540	1730
238	542	1726
239	544	1723
240	545	1719
241	547	1715
242	549	1712
243	551	1709
244	554	1707
245	556	1705
246	558	1702
247	560	1699
248	562	1696
249	565	1695
250	567	1692
251	569	1689
252	571	1686
253	573	1684
254	575	1680
255	577	1677
256	579	1673
257	580	1670
258	582	1667
259	584	1664
260	586	1661
261	588	1658
262	591	1656
263	593	1653
264	594	1650
265	596	1646
266	598	1644
267	600	1640
268	602	1638
269	604	1635
270	606	1631
271	608	1628
272	610	1625
273	612	1623
274	614	1619
275	616	1616
276	618	1614
277	620	1610
278	622	1608
279	624	1605
280	626	1602
281	628	1599
282	630	1596
283	631	1593
284	633	1590
285	635	1587
286	638	1585
287	640	1582
288	642	1579
289	644	1577
290	646	1575
291	649	1573
292	651	1572
293	653	1569
294	655	1567
295	657	1564
296	659	1561
297	662	1559
298	664	1557
299	666	1554
300	668	1552
301	670	1549
302	672	1547
303	674	1545
304	677	1543
305	679	1540
306	681	1539
307	683	1536
308	685	1533
309	687	1530
310	689	1528
311	691	1525
312	694	1523
313	696	1522
314	698	1519
315	700	1517
316	703	1515
317	704	1511
318	707	1509
319	709	1507
320	711	1504
321	713	1501
322	715	1498
323	717	1496
324	718	1492
325	720	1490
326	722	1487
327	725	1486
328	727	1484
329	729	1482
330	731	1479
331	734	1477
332	736	1475
333	738	1473
334	741	1471
335	743	1469
336	745	1467
337	749	1467
338	750	1464
339	753	1462
340	755	1460
341	757	1458
342	759	1455
343	762	1453
344	763	1450
345	765	1447
346	767	1444
347	769	1441
348	771	1438
349	773	1435
350	774	1432
351	776	1430
352	778	1427
353	780	1424
354	782	1422
355	784	1419
356	786	1416
357	788	1414
358	790	1411
359	792	1408
360	793	1405
361	796	1403
362	798	1400
363	800	1398
364	802	1395
365	804	1393
366	806	1390
367	807	1387
368	810	1385
369	812	1382
370	813	1379
371	815	1377
372	817	1374
373	819	1371
374	821	1368
375	823	1366
376	825	1363
377	827	1361
378	829	1359
379	831	1356
380	833	1354
381	835	1351
382	837	1348
383	839	1346
384	841	1344
385	843	1341
386	845	1339
387	847	1336
388	849	1333
389	851	1331
390	853	1328
391	855	1326
392	857	1324
393	859	1321
394	861	1319
395	863	1316
396	865	1314
397	867	1311
398	869	1309
399	871	1307
400	873	1304
401	875	1302
402	877	1299
403	879	1296
404	880	1294
405	883	1292
406	885	1290
407	887	1288
408	889	1285
409	892	1283
410	893	1280
411	895	1278
412	897	1275
413	899	1272
414	901	1270
415	903	1268
416	905	1265
417	907	1263
418	909	1261
419	912	1259
420	914	1257
421	916	1255
422	918	1252
423	920	1250
424	922	1248
425	924	1246
426	927	1244
427	929	1241
428	931	1240
429	934	1238
430	936	1236
431	938	1234
432	940	1231
433	942	1229
434	945	1228
435	947	1225
436	949	1223
437	952	1221
438	954	1219
439	956	1217
440	959	1216
441	962	1215
442	965	1213
443	967	1211
444	969	1208
445	971	1206
446	974	1205
447	976	1203
448	979	1201
449	981	1200
450	984	1198
451	986	1196
452	988	1194
453	995	1197
454	998	1195
455	1000	1193
456	1002	1191
457	1004	1188
458	1007	1187
459	1009	1184
460	1011	1182
461	1013	1180
462	1016	1179
463	1018	1176
464	1020	1174
465	1022	1171
466	1024	1169
467	1027	1167
468	1029	1165
469	1030	1162
470	1033	1160
471	1035	1158
472	1037	1155
473	1041	1155
474	1043	1152
475	1045	1150
476	1047	1148
477	1049	1146
478	1051	1144
479	1055	1143
480	1057	1141
481	1062	1141
482	1064	1139
483	1068	1139
484	1072	1139
485	1080	1143
486	1085	1143
487	1089	1142
488	1091	1140
489	1093	1138
490	1096	1137
491	1099	1135
492	1101	1133
493	1104	1131
494	1110	1132
495	1113	1131
496	1116	1129
497	1120	1129
498	1123	1128
499	1130	1130
500	1140	1135
501	1144	1135
502	1147	1133
503	1149	1130
504	1151	1129
505	1162	1135
506	1165	1133
507	1168	1131
508	1171	1129
509	1173	1127
510	1176	1125
511	1178	1123
512	1181	1121
513	1184	1120
514	1191	1122
515	1194	1120
516	1196	1117
517	1198	1115
518	1201	1113
519	1203	1111
520	1206	1109
521	1209	1107
522	1212	1105
523	1215	1103
524	1218	1102
525	1221	1100
526	1224	1099
527	1227	1096
528	1229	1094
529	1233	1093
530	1236	1091
531	1239	1089
532	1241	1087
533	1243	1085
534	1245	1082
535	1248	1080
536	1250	1078
537	1252	1075
538	1254	1073
539	1257	1070
540	1259	1068
541	1261	1065
542	1264	1064
543	1266	1061
544	1268	1059
545	1270	1056
546	1272	1054
547	1275	1052
548	1278	1050
549	1280	1047
550	1284	1046
551	1286	1044
552	1289	1041
553	1291	1039
554	1299	1042
555	1302	1039
556	1304	1037
557	1306	1035
558	1308	1032
559	1311	1030
560	1313	1027
561	1316	1025
562	1319	1024
563	1321	1021
564	1325	1020
565	1329	1019
566	1331	1017
567	1334	1014
568	1336	1012
569	1340	1011
570	1343	1009
571	1347	1008
572	1351	1007
573	1354	1005
574	1357	1003
575	1359	1000
576	1361	998
577	1364	996
578	1367	994
579	1369	991
580	1372	989
581	1374	987
582	1376	984
583	1380	983
584	1382	980
585	1387	979
586	1389	977
587	1391	975
588	1394	973
589	1396	970
590	1398	968
591	1400	965
592	1403	963
593	1405	960
594	1407	958
595	1410	955
596	1414	954
597	1417	953
598	1419	950
599	1422	948
600	1424	945
601	1426	943
602	1430	941
603	1433	939
604	1435	937
605	1444	939
606	1446	936
607	1448	934
608	1450	931
609	1453	929
610	1456	927
611	1458	924
612	1460	922
613	1462	919
614	1464	917
615	1467	914
616	1469	912
617	1472	910
618	1474	907
619	1476	905
620	1478	902
621	1480	899
622	1482	897
623	1485	894
624	1486	892
625	1489	889
626	1491	887
627	1493	884
628	1495	882
629	1498	879
630	1500	877
631	1503	875
632	1505	872
633	1507	870
634	1510	868
635	1512	865
636	1514	862
637	1516	860
638	1518	857
639	1521	855
640	1523	853
641	1526	851
642	1529	849
643	1531	846
644	1533	844
645	1536	841
646	1538	839
647	1541	837
648	1543	834
649	1545	832
650	1548	830
651	1550	827
652	1554	826
653	1557	823
654	1559	821
655	1561	819
656	1564	816
657	1566	814
658	1568	811
659	1571	809
660	1573	806
661	1575	804
662	1578	802
663	1580	799
664	1583	797
665	1585	794
666	1587	792
667	1590	790
668	1593	788
669	1595	785
670	1597	783
671	1600	781
672	1602	778
673	1605	776
674	1607	773
675	1609	771
676	1611	768
677	1613	766
678	1615	763
679	1618	761
680	1620	759
681	1622	756
682	1624	753
683	1626	751
684	1628	749
685	1631	746
686	1634	744
687	1636	741
688	1639	739
689	1641	737
690	1643	734
691	1645	732
692	1648	730
693	1651	727
694	1653	725
695	1655	722
696	1657	720
